ID,File_Name,Language,Component,Vulnerability,CWE,Line_Number,CVSS,Severity,Risk_Score,Detection_Status,Remediation
V0001,auth.py,PHP,Configuration,Command Injection,CWE-78,267,6.9,Medium,6.9,Missed,Fixed
V0002,session.java,Java,File Upload,Command Injection,CWE-78,1153,2.4,Low,1.68,Detected,Fixed
V0003,admin.js,JavaScript,API,Sensitive Data Exposure,CWE-200,815,6.5,Medium,6.5,Missed,Fixed
V0004,checkout.php,Java,API,Cross-Site Scripting,CWE-79,1309,6.7,Medium,6.7,Detected,Pending
V0005,login.cpp,Python,Authentication,Insecure API,CWE-639,634,7,High,8.4,Detected,Pending
V0006,login.py,C,Authentication,Weak Authentication,CWE-287,523,7,High,8.4,Detected,Fixed
V0007,upload.js,Python,Session Management,Hardcoded Credentials,CWE-798,1206,2.7,Low,1.89,Detected,Pending
V0008,auth.py,C++,Session Management,Insecure API,CWE-639,470,2.6,Low,1.82,Missed,Fixed
V0009,download.cpp,C++,Configuration,Insecure Cryptography,CWE-327,1241,7.5,High,9,Detected,Pending
V0010,database.php,C++,Authentication,Sensitive Data Exposure,CWE-200,1471,8.6,High,10.32,Missed,Pending
V0011,upload.js,JavaScript,File Upload,Weak Authentication,CWE-287,977,3.2,Low,2.24,Detected,Pending
V0012,upload.cpp,C,User Management,Command Injection,CWE-78,35,8.3,High,9.96,Missed,Fixed
V0013,download.java,Python,Authentication,Insecure Cryptography,CWE-327,708,5.9,Medium,5.9,Detected,Fixed
V0014,config.php,Java,API,Insecure Cryptography,CWE-327,230,9.9,Critical,14.85,Detected,Pending
V0015,auth.cpp,C++,API,Insecure Cryptography,CWE-327,1464,6,Medium,6,Missed,Pending
V0016,config.java,Python,Database,Command Injection,CWE-78,1191,6.5,Medium,6.5,Detected,Pending
V0017,checkout.py,JavaScript,Authentication,Buffer Overflow,CWE-120,504,5,Medium,5,Detected,Pending
V0018,user.cpp,Java,User Management,Sensitive Data Exposure,CWE-200,1020,6.1,Medium,6.1,Detected,Pending
V0019,upload.cpp,C,Database,Path Traversal,CWE-22,935,2.6,Low,1.82,Detected,Pending
V0020,profile.py,C++,User Management,Sensitive Data Exposure,CWE-200,406,6.3,Medium,6.3,Detected,Fixed
V0021,server.php,C,Payment,Insecure Cryptography,CWE-327,712,9.7,Critical,14.55,Detected,Pending
V0022,api.c,Python,Database,Command Injection,CWE-78,246,6.2,Medium,6.2,Detected,Fixed
V0023,session.py,PHP,Session Management,Hardcoded Credentials,CWE-798,633,5.5,Medium,5.5,Detected,Pending
V0024,user.java,C++,File Upload,SQL Injection,CWE-89,647,2.3,Low,1.61,Missed,Pending
V0025,session.cpp,C,Database,Path Traversal,CWE-22,161,2.3,Low,1.61,Detected,Fixed
V0026,auth.cpp,JavaScript,File Upload,Weak Authentication,CWE-287,1063,2.4,Low,1.68,Detected,Pending
V0027,user.js,JavaScript,User Management,Sensitive Data Exposure,CWE-200,1428,3.3,Low,2.31,Detected,Fixed
V0028,search.js,Java,API,Path Traversal,CWE-22,293,5.8,Medium,5.8,Detected,Fixed
V0029,auth.cpp,C,File Upload,Insecure Cryptography,CWE-327,604,8.4,High,10.08,Detected,Fixed
V0030,download.py,C,API,Insecure Cryptography,CWE-327,316,4.2,Medium,4.2,Detected,Pending
V0031,auth.js,C,Payment,Sensitive Data Exposure,CWE-200,764,8,High,9.6,Detected,Pending
V0032,login.py,C,API,Path Traversal,CWE-22,1001,6.2,Medium,6.2,Detected,Pending
V0033,user.c,C,Database,Weak Authentication,CWE-287,56,4.3,Medium,4.3,Detected,Fixed
V0034,server.c,Java,API,Path Traversal,CWE-22,168,2.1,Low,1.47,Detected,Fixed
V0035,checkout.js,Java,API,Weak Authentication,CWE-287,304,7.3,High,8.76,Detected,Fixed
V0036,admin.php,C,User Management,Insecure API,CWE-639,669,2.5,Low,1.75,Detected,Fixed
V0037,config.js,JavaScript,API,Insecure Cryptography,CWE-327,1431,8.7,High,10.44,Detected,Fixed
V0038,user.c,Java,Authentication,Cross-Site Scripting,CWE-79,882,3.1,Low,2.17,Detected,Fixed
