Asset_ID,Resource_Type,Resource_Name,Open_Ports,Risk_Score,Criticality,Dependency_Count,Public_Access,IAM_Risk
ASSET-0001,EC2,EC2-Resource-1,7,64,Critical,4,Yes,Medium
ASSET-0002,IAM,IAM-Resource-2,7,66,High,10,No,Medium
ASSET-0003,VPC,VPC-Resource-3,12,46,Medium,1,Yes,High
ASSET-0004,VPC,VPC-Resource-4,13,61,High,3,Yes,Medium
ASSET-0005,IAM,IAM-Resource-5,12,36,High,5,Yes,High
ASSET-0006,IAM,IAM-Resource-6,7,96,High,7,Yes,Low
ASSET-0007,S3,S3-Resource-7,3,52,Medium,8,No,Medium
ASSET-0008,EC2,EC2-Resource-8,14,25,Critical,0,No,Medium
ASSET-0009,VPC,VPC-Resource-9,1,98,Medium,1,Yes,Low
ASSET-0010,IAM,IAM-Resource-10,13,66,High,7,No,Medium
ASSET-0011,EC2,EC2-Resource-11,12,66,High,3,No,High
ASSET-0012,RDS,RDS-Resource-12,3,60,Medium,11,No,Medium
ASSET-0013,EC2,EC2-Resource-13,9,56,Medium,0,Yes,Low
ASSET-0014,RDS,RDS-Resource-14,7,12,Medium,4,No,Medium
ASSET-0015,EC2,EC2-Resource-15,9,48,Medium,0,Yes,High
ASSET-0016,VPC,VPC-Resource-16,9,98,High,4,No,Low
ASSET-0017,RDS,RDS-Resource-17,7,32,Critical,8,No,High
ASSET-0018,IAM,IAM-Resource-18,9,60,High,11,Yes,High
ASSET-0019,EC2,EC2-Resource-19,2,94,Medium,5,Yes,Low
ASSET-0020,EC2,EC2-Resource-20,14,36,Critical,0,No,High
ASSET-0021,EC2,EC2-Resource-21,5,25,Low,5,No,High
ASSET-0022,VPC,VPC-Resource-22,1,71,Low,12,Yes,Low
ASSET-0023,EC2,EC2-Resource-23,14,53,Medium,4,No,High
ASSET-0024,IAM,IAM-Resource-24,8,17,High,4,Yes,Low
ASSET-0025,RDS,RDS-Resource-25,2,43,High,9,Yes,Low
ASSET-0026,EC2,EC2-Resource-26,13,66,Low,6,Yes,Low
ASSET-0027,VPC,VPC-Resource-27,2,91,Medium,1,Yes,Medium
ASSET-0028,RDS,RDS-Resource-28,12,80,Medium,2,Yes,Low
ASSET-0029,IAM,IAM-Resource-29,5,35,High,1,Yes,High
ASSET-0030,IAM,IAM-Resource-30,6,68,Medium,8,Yes,High
ASSET-0031,RDS,RDS-Resource-31,13,30,Medium,1,No,Low
ASSET-0032,VPC,VPC-Resource-32,4,34,Critical,4,Yes,High
ASSET-0033,EC2,EC2-Resource-33,14,58,Low,12,Yes,Medium
ASSET-0034,Lambda,Lambda-Resource-34,7,40,Low,10,Yes,Medium
ASSET-0035,RDS,RDS-Resource-35,2,22,Critical,12,No,High
ASSET-0036,Lambda,Lambda-Resource-36,11,99,Medium,11,No,Low
ASSET-0037,VPC,VPC-Resource-37,1,86,High,8,No,Low
ASSET-0038,IAM,IAM-Resource-38,4,68,Medium,3,Yes,High
ASSET-0039,Lambda,Lambda-Resource-39,9,55,High,0,No,Medium
ASSET-0040,IAM,IAM-Resource-40,0,89,High,4,No,Medium
ASSET-0041,VPC,VPC-Resource-41,3,95,Low,7,No,Low
ASSET-0042,VPC,VPC-Resource-42,10,12,Medium,1,No,High
ASSET-0043,IAM,IAM-Resource-43,6,27,Medium,2,No,High
ASSET-0044,IAM,IAM-Resource-44,1,43,High,10,Yes,High
ASSET-0045,Lambda,Lambda-Resource-45,10,24,High,8,No,Low
ASSET-0046,RDS,RDS-Resource-46,7,74,Low,5,No,High
ASSET-0047,S3,S3-Resource-47,4,17,High,3,Yes,High
ASSET-0048,EC2,EC2-Resource-48,5,79,Medium,10,No,Medium
ASSET-0049,Lambda,Lambda-Resource-49,13,23,Low,7,No,Low
ASSET-0050,VPC,VPC-Resource-50,5,88,High,0,Yes,Medium
ASSET-0051,Lambda,Lambda-Resource-51,3,26,Medium,1,Yes,Medium
ASSET-0052,RDS,RDS-Resource-52,8,89,Medium,3,No,Medium
ASSET-0053,EC2,EC2-Resource-53,2,36,Medium,8,No,Medium
ASSET-0054,IAM,IAM-Resource-54,2,63,Medium,3,Yes,Low
ASSET-0055,S3,S3-Resource-55,2,82,Medium,0,No,Low
ASSET-0056,S3,S3-Resource-56,8,78,Medium,0,Yes,Medium
ASSET-0057,RDS,RDS-Resource-57,6,82,Medium,6,No,Medium
ASSET-0058,S3,S3-Resource-58,5,54,Medium,3,No,Medium
ASSET-0059,RDS,RDS-Resource-59,1,50,Medium,11,Yes,High
ASSET-0060,EC2,EC2-Resource-60,15,33,Medium,6,No,Medium
ASSET-0061,RDS,RDS-Resource-61,11,66,Medium,5,No,Medium
ASSET-0062,VPC,VPC-Resource-62,13,19,Low,8,Yes,Medium
ASSET-0063,Lambda,Lambda-Resource-63,7,26,Medium,3,No,Medium
ASSET-0064,S3,S3-Resource-64,5,100,Medium,5,No,Medium
ASSET-0065,RDS,RDS-Resource-65,4,56,High,9,No,Medium
ASSET-0066,EC2,EC2-Resource-66,9,64,Low,11,Yes,Low
ASSET-0067,IAM,IAM-Resource-67,7,36,Medium,4,No,High
ASSET-0068,Lambda,Lambda-Resource-68,11,97,Medium,10,No,Low
ASSET-0069,VPC,VPC-Resource-69,0,29,High,12,No,Medium
ASSET-0070,VPC,VPC-Resource-70,7,74,High,3,Yes,Low
ASSET-0071,Lambda,Lambda-Resource-71,7,39,Critical,9,No,Low
ASSET-0072,EC2,EC2-Resource-72,9,60,Medium,11,No,Medium
ASSET-0073,EC2,EC2-Resource-73,4,38,Low,6,No,Low
ASSET-0074,S3,S3-Resource-74,12,77,High,8,Yes,Low
ASSET-0075,S3,S3-Resource-75,11,21,Medium,3,Yes,Medium
ASSET-0076,EC2,EC2-Resource-76,4,49,Medium,6,No,Low
ASSET-0077,S3,S3-Resource-77,14,51,Medium,1,No,Medium
ASSET-0078,VPC,VPC-Resource-78,0,55,High,10,No,Low
