Scan_ID,URL,HTTP_Method,Vulnerability,Parameter,CVSS,Severity,Status
DAST0001,/payment,DELETE,Security Misconfiguration,file,4.3,Medium,Open
DAST0002,/upload,POST,Session Management Issue,redirect,8.3,High,Open
DAST0003,/api/auth,GET,SQL Injection,username,5.3,Medium,Open
DAST0004,/search,POST,Path Traversal,token,9.1,Critical,Open
DAST0005,/api/users,POST,Broken Authentication,N/A,9.5,Critical,Open
DAST0006,/profile,DELETE,Cross-Site Scripting,N/A,2.4,Low,Open
DAST0007,/search,PUT,Open Redirect,search,6.2,Medium,Fixed
DAST0008,/upload,POST,Session Management Issue,username,9.1,Critical,Fixed
DAST0009,/checkout,GET,Open Redirect,redirect,6.4,Medium,Open
DAST0010,/profile,PUT,Security Misconfiguration,redirect,5.7,Medium,Open
DAST0011,/checkout,GET,Security Misconfiguration,id,9.7,Critical,Open
DAST0012,/payment,PUT,Information Disclosure,username,5.6,Medium,Open
DAST0013,/checkout,DELETE,Information Disclosure,file,7.4,High,Fixed
DAST0014,/profile,GET,SQL Injection,search,6.6,Medium,Open
DAST0015,/login,POST,Session Management Issue,id,2.8,Low,Open
DAST0016,/payment,PUT,Security Misconfiguration,token,9.2,Critical,Open
DAST0017,/download,DELETE,Missing Security Headers,N/A,4,Medium,Fixed
DAST0018,/payment,POST,Path Traversal,id,2.3,Low,Open
DAST0019,/download,PUT,SQL Injection,N/A,4.6,Medium,Fixed
DAST0020,/search,DELETE,Open Redirect,N/A,9.6,Critical,Open
DAST0021,/api/auth,DELETE,SQL Injection,file,9.1,Critical,Fixed
DAST0022,/api/auth,POST,CSRF,token,7.5,High,Open
DAST0023,/download,DELETE,Path Traversal,file,7.1,High,Fixed
DAST0024,/search,POST,Missing Security Headers,N/A,10,Critical,Open
DAST0025,/upload,POST,Cross-Site Scripting,redirect,7.2,High,Open
DAST0026,/api/auth,PUT,Missing Security Headers,token,7.7,High,Open
DAST0027,/api/users,DELETE,Cross-Site Scripting,file,6.4,Medium,Open
DAST0028,/api/users,DELETE,Security Misconfiguration,token,6.8,Medium,Open
DAST0029,/admin,POST,SQL Injection,N/A,4.3,Medium,Open
DAST0030,/profile,POST,Path Traversal,redirect,3.2,Low,Open
DAST0031,/login,DELETE,Security Misconfiguration,N/A,9.7,Critical,Open
DAST0032,/api/users,PUT,Missing Security Headers,token,9.2,Critical,Fixed
DAST0033,/profile,DELETE,Open Redirect,id,7.5,High,Fixed
DAST0034,/admin,PUT,Information Disclosure,id,8.4,High,Open
DAST0035,/api/auth,PUT,Information Disclosure,id,2.2,Low,Open
DAST0036,/upload,DELETE,Cross-Site Scripting,id,5.8,Medium,Open
DAST0037,/login,POST,Broken Authentication,N/A,8.1,High,Open
DAST0038,/download,PUT,Cross-Site Scripting,redirect,3.7,Low,Fixed
DAST0039,/api/auth,GET,Security Misconfiguration,id,4.5,Medium,Open
DAST0040,/api/auth,POST,Missing Security Headers,file,3.9,Low,Open
DAST0041,/profile,POST,SQL Injection,file,3.1,Low,Open
DAST0042,/admin,POST,Path Traversal,id,5.3,Medium,Open
DAST0043,/checkout,DELETE,Missing Security Headers,file,5.3,Medium,Open
DAST0044,/profile,PUT,CSRF,token,5,Medium,Open
DAST0045,/payment,GET,Path Traversal,id,3.2,Low,Open
DAST0046,/profile,DELETE,Path Traversal,token,3.1,Low,Fixed
DAST0047,/download,GET,Cross-Site Scripting,file,3.9,Low,Open
DAST0048,/admin,DELETE,Path Traversal,N/A,5.7,Medium,Open
DAST0049,/admin,PUT,Open Redirect,token,4.1,Medium,Open
DAST0050,/upload,GET,Broken Authentication,username,8.9,High,Open
DAST0051,/profile,POST,SQL Injection,redirect,2.4,Low,Open
DAST0052,/download,GET,Path Traversal,redirect,5.5,Medium,Open
DAST0053,/api/auth,DELETE,Security Misconfiguration,redirect,8.4,High,Open
DAST0054,/profile,GET,Cross-Site Scripting,id,3,Low,Open
DAST0055,/payment,PUT,Security Misconfiguration,redirect,6.5,Medium,Open
DAST0056,/search,GET,Security Misconfiguration,N/A,3.7,Low,Open
DAST0057,/api/users,GET,SQL Injection,file,3,Low,Open
DAST0058,/api/users,POST,Information Disclosure,search,8,High,Open
DAST0059,/download,DELETE,Path Traversal,N/A,9.2,Critical,Open
DAST0060,/admin,POST,Session Management Issue,id,5,Medium,Fixed
DAST0061,/api/users,PUT,SQL Injection,token,7.3,High,Fixed
DAST0062,/login,PUT,Cross-Site Scripting,username,2.8,Low,Open
DAST0063,/login,DELETE,Open Redirect,username,5.1,Medium,Fixed
DAST0064,/login,PUT,Path Traversal,file,4.2,Medium,Fixed
