Asset_ID,Resource_Name,Resource_Type,Public_Access,Open_Ports,Encryption_Status,IAM_Risk,Security_Group_Risk,Vulnerability_Count,Patch_Status,Logging_Enabled,Backup_Enabled,Dependency_Count,Misconfiguration_Count,Risk_Score,Risk_Level
ASSET-001,Cloud-Resource-1,RDS,No,14,Yes,Low,Medium,2,Outdated,No,Yes,9,3,37,Medium
ASSET-002,Cloud-Resource-2,VPC,Yes,14,No,Medium,Low,3,Updated,Yes,Yes,4,3,40,Medium
ASSET-003,Cloud-Resource-3,EC2,Yes,0,Yes,Low,Medium,0,Updated,No,Yes,9,2,30,Medium
ASSET-004,Cloud-Resource-4,RDS,No,20,Yes,Medium,Medium,9,Updated,No,Yes,9,3,40,Medium
ASSET-005,Cloud-Resource-5,VPC,Yes,2,No,Medium,High,8,Outdated,No,Yes,2,6,72,High
ASSET-006,Cloud-Resource-6,S3,No,15,No,Low,High,1,Updated,No,Yes,7,4,48,Medium
ASSET-007,Cloud-Resource-7,RDS,No,15,No,Medium,Medium,8,Updated,No,Yes,3,4,57,High
ASSET-008,Cloud-Resource-8,EC2,No,6,No,Medium,Low,9,Updated,Yes,Yes,2,3,36,Medium
ASSET-009,Cloud-Resource-9,S3,Yes,10,Yes,Low,Low,3,Outdated,No,No,8,5,65,High
ASSET-010,Cloud-Resource-10,EC2,Yes,14,Yes,Medium,Medium,0,Updated,No,Yes,9,3,43,Medium
